duration,avg_speed,height_diff,grnd_dist,tot_dist,angle_var,prev_cluster,annotation
6766,4.1906,48,1.4257,10.577,0.61804,unknown,unknown
2221,1.6239,30,1.2532,2.1178,0.80884,unknown,flying
918,3.1191,7,0.93434,0.9936,0.034936,flying,flying
1228,2.7059,34,1.1857,1.2717,0.17918,flying,digesting
4631,10.085,58,2.3211,17.883,0.29827,unknown,diving
744,9.6596,29,2.6486,2.8651,0.012431,diving,flying
1401,14.835,37,7.2461,7.6318,0.14446,flying,flying
2478,11.721,18,1.7421,3.9874,0.76391,unknown,flying
2122,12.464,28,6.453,6.7883,0.4634,flying,flying
1316,8.6674,20,1.7423,2.9364,0.20838,unknown,flying
1274,6.132,21,2.4722,2.5649,0.78872,flying,flying
1239,2.8268,25,0.49466,0.52952,0.46379,flying,digesting
5485,0.14481,18,0.41827,0.44822,0.7215,unknown,sleeping
2512,4.1232,42,3.7695,4.066,0.1962,sleeping,flying
1220,0.39381,10,0.086119,0.088576,0.44149,flying,digesting
936,2.7767,17,0.25476,0.26688,1.277,digesting,flying
1204,2.5846,3,0.63237,0.69535,0.27009,flying,digesting
1790,2.4257,18,1.5757,1.5824,0.61365,unknown,digesting
2397,0.42828,12,0.29879,0.34323,0.39454,digesting,digesting
1529,2.6123,21,1.2669,1.5345,0.77261,digesting,digesting
1418,6.7106,3,0.37404,0.64589,0.64559,digesting,diving
679,3.1952,5,0.57635,0.57637,0.9129,diving,digesting
2341,8.0984,23,1.4069,2.6401,0.11583,digesting,flying
8490,7.1649,132,3.0704,15.449,0.84181,flying,diving
2302,0.61744,32,0.50568,0.61853,0.46577,diving,digesting
6759,6.2597,66,1.3352,11.08,0.64243,digesting,diving
1424,0.6263,27,0.3083,0.31475,0.40513,diving,digesting
1826,4.1036,34,2.0267,2.331,0.49535,digesting,flying
1907,1.1886,15,0.90106,0.90315,0.088594,flying,flying
941,3.3628,13,1.1026,1.4086,0.47765,flying,flying
10934,0.7454,25,4.2055,5.9375,0.45973,flying,sleeping
3648,6.023,82,4.566,6.3585,0.6424,sleeping,flying
1822,9.2446,22,7.5926,7.6315,0.91398,flying,flying
5142,3.8213,59,4.934,7.1139,0.89398,unknown,unknown
2384,1.1573,4,0.94484,0.94554,0.036504,unknown,sleeping
3311,4.6842,9,2.3838,4.2646,1.5103,sleeping,diving
2758,0.96276,7,1.1811,1.1819,0.13165,diving,digesting
1173,18.111,48,5.4914,5.5425,0.11443,digesting,flying
2474,6.6925,30,4.3445,6.5093,0.7284,unknown,flying
1537,3.1392,18,1.2451,1.5559,0.13917,flying,diving
1262,13.557,13,4.4698,4.5459,0.02028,diving,flying
875,11.369,44,1.8499,2.132,0.63424,unknown,flying
3054,0.97919,38,0.65551,0.82525,0.54076,flying,unknown
617,12.682,36,2.7056,2.7371,0.21214,unknown,flying
1850,0.5076,8,0.32144,0.32629,0.27771,flying,sleeping
1005,3.1222,5,0.65002,0.65057,0.39703,sleeping,flying
6698,0.55955,31,1.6313,1.6844,0.67311,flying,sleeping
5338,9.9964,45,3.5621,10.897,0.61976,sleeping,diving
1319,3.2991,30,0.078053,0.56292,0.42864,diving,digesting
1279,10.17,26,3.0145,3.4612,0.73792,digesting,flying
10113,6.1851,73,5.3438,13.346,0.72837,flying,unknown
4157,0.32274,26,0.021448,0.1744,1.1157,unknown,unknown
2188,10.39,31,9.7434,9.8176,0.60209,unknown,flying
4821,3.7914,37,5.3435,6.2151,0.91376,unknown,flying
3182,8.8034,27,5.0525,6.2763,0.59152,flying,flying
3707,4.943,36,3.2141,3.9544,0.78302,flying,flying
2687,9.2773,28,3.0291,3.6946,0.34236,flying,flying
1222,13.972,22,1.8762,2.6423,1.5903,flying,flying
9548,4.7487,119,7.0062,15.699,0.51482,flying,diving
2869,0.64798,19,0.50101,0.51741,0.3544,diving,digesting
1615,15.039,98,5.9393,6.7595,0.23069,digesting,flying
1426,20.343,124,10.383,10.618,0.006313,flying,flying
11232,16.386,174,44.259,55.028,0.33717,flying,flying
900,11.323,43,2.892,3.526,0.42975,unknown,flying
2344,13.036,83,9.4556,9.6479,0.012367,flying,flying
1241,13.373,91,5.4142,5.4462,0.18723,flying,flying
2410,12.214,32,13.011,13.061,0.0068088,unknown,flying
1220,12.838,39,6.1595,6.2394,0.10288,flying,flying
3944,8.5994,55,10.117,13.055,0.8503,unknown,diving
10024,1.1229,32,1.8297,2.9127,0.35615,diving,sleeping
2744,4.289,47,1.6499,2.8188,1.2525,sleeping,diving
5994,1.0619,45,2.235,2.2573,0.089424,diving,digesting
2705,6.7092,35,6.5904,7.0004,1.3122,digesting,flying
1488,0.63891,8,0.73015,0.84688,0.18801,flying,digesting
2364,5.9494,21,4.5786,4.9403,0.68637,digesting,flying
5471,1.369,62,2.1238,3.9553,0.3009,flying,sleeping
1807,6.421,30,3.3126,4.261,1.3648,unknown,flying
1507,1.059,11,1.6665,2.05,0.11307,flying,digesting
1183,4.5324,14,0.94734,1.1226,0.48469,digesting,diving
1519,11.841,14,1.7521,2.4676,0.66836,diving,diving
2714,8.0922,24,4.6804,7.3242,0.28514,unknown,flying
1231,1.0883,6,0.45889,0.45987,0.044998,flying,digesting
1846,9.8504,95,4.916,7.3677,0.88861,digesting,diving
1553,7.3909,15,1.6041,3.7485,0.93477,unknown,diving
3962,0.2648,9,0.005627,0.036413,0.49078,diving,unknown
3336,9.6216,42,5.4993,11.411,0.9572,unknown,flying
